Name,Pruned,RC,SMILES
15,pruned,intermediate,[H]c1c([H])c(N([H])C(=O)[C-]([H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([H])c([5H])c1[8H]
15,pruned,product,[H]c1c([H])c(N([H])C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([H])c([5H])c1[8H]
16,original,reactant,COC(C=CC(NC(/C=C/CN(C)C)=O)=C1)=C1NC2=NC=CC(C3=C(C=CC=C4)N4N=C3)=N2
16,original,intermediate,[H]C1=C([H])c2c(-c3nc(N([H])c4c([H])c(N([H])C(=O)[C-]([H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c4OC([H])([H])[H])nc([H])c3[H])c([H])nn2C([H])=C1[H]
16,original,product,[H]c1nc(N([H])c2c([H])c(N([H])C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c2OC([H])([H])[H])nc(-c2c([H])nn3c([H])c([H])c([H])c([H])c23)c1[H]
16,pruned,reactant,[H]/C(C(=O)N([H])c1c([H])c([H])c([1H])c([17H])c1[H])=C(/[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H]
16,pruned,intermediate,[H]c1c([H])c(N([H])C(=O)[C-]([H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([H])c([17H])c1[1H]
16,pruned,product,[H]c1c([H])c(N([H])C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([H])c([17H])c1[1H]
18,original,reactant,C1=CN=C(NC2=CC(NC(/C=C/CN(C)C)=O)=CC=C2OC)N=C1C3=C(C=CC=C4)N4N=C3
18,original,intermediate,[H]C1=C([H])c2c(-c3nc(N([H])c4c([H])c(N([H])C(=O)[C-]([H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c4OC([H])([H])[H])nc([H])c3[H])c([H])nn2C([H])=C1[H]
18,original,product,[H]c1nc(N([H])c2c([H])c(N([H])C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c2OC([H])([H])[H])nc(-c2c([H])nn3c([H])c([H])c([H])c([H])c23)c1[H]
18,pruned,reactant,[H]/C(C(=O)N([H])c1c([H])c([H])c([20H])c([4H])c1[H])=C(/[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H]
18,pruned,intermediate,[H]c1c([H])c(N([H])C(=O)[C-]([H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([H])c([4H])c1[20H]
18,pruned,product,[H]c1c([H])c(N([H])C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([H])c([4H])c1[20H]
20,original,reactant,O=C(C=C)NC1=CC=C(N)C=C1
20,original,intermediate,[H]c1c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1N([H])[H]
20,original,product,[H]c1c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1N([H])[H]
20,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([9H])c([H])c1[H]
20,pruned,intermediate,[H]c1c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1[9H]
20,pruned,product,[H]c1c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1[9H]
21,original,reactant,O=C(C=C)NC1=CC=C(F)C=C1
21,original,intermediate,[H]c1c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1F
