Name,RC,SMILES,Pruned
1,orginal,reactant,O=C(C=C)NC1=CC=CC=C1
1,orginal,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
1,orginal,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
1,pruned,reactant,C=CC(=O)Nc1ccccc1
1,pruned,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
1,pruned,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
2o,orginal,reactant,O=C(C=C)NC1=CC=CC=C1F
2o,orginal,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c(F)c1[H]
2o,orginal,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c(F)c1[H]
2o,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([H])c([H])c1[11H]
2o,pruned,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([11H])c1[H]
2o,pruned,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([11H])c1[H]
3o,orginal,reactant,O=C(C=C)NC1=CC=CC=C1Cl
3o,orginal,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c(Cl)c1[H]
3o,orginal,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c(Cl)c1[H]
3o,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([H])c([H])c1[11H]
3o,pruned,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([11H])c1[H]
3o,pruned,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([11H])c1[H]
4o,orginal,reactant,O=C(C=C)NC1=CC=CC=C1C
4o,orginal,intermediate,[H]c1c([H])c([H])c(C([H])([H])[H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c1[H]
4o,orginal,product,[H]c1c([H])c([H])c(C([H])([H])[H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c1[H]
4o,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([H])c([H])c1[11H]
4o,pruned,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([11H])c1[H]
4o,pruned,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([11H])c1[H]
5o,orginal,reactant,O=C(C=C)NC1=CC=CC=C1C(F)(F)F
5o,orginal,intermediate,[H]c1c([H])c([H])c(C(F)(F)F)c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c1[H]
5o,orginal,product,[H]c1c([H])c([H])c(C(F)(F)F)c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c1[H]
5o,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([H])c([H])c1[11H]
5o,pruned,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([11H])c1[H]
5o,pruned,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([11H])c1[H]
6o,orginal,reactant,O=C(C=C)NC1=CC=CC=C1C2=CC=CC=C2
6o,orginal,intermediate,[H]c1c([H])c([H])c(-c2c([H])c([H])c([H])c([H])c2N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
6o,orginal,product,[H]c1c([H])c([H])c(-c2c([H])c([H])c([H])c([H])c2N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
6o,pruned,reactant,C=CC(=O)Nc1ccccc1-c1ccccc1
6o,pruned,intermediate,[H]c1c([H])c([H])c(-c2c([H])c([H])c([H])c([H])c2N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
6o,pruned,product,[H]c1c([H])c([H])c(-c2c([H])c([H])c([H])c([H])c2N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
7o,orginal,reactant,O=C(C=C)NC1=CC=CC=C1C(OC)=O
7o,orginal,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c(C(=O)OC([H])([H])[H])c1[H]
7o,orginal,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c(C(=O)OC([H])([H])[H])c1[H]
7o,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([H])c([H])c1[11H]
7o,pruned,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([11H])c1[H]
7o,pruned,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([11H])c1[H]
8o,orginal,reactant,O=C(C=C)NC1=CC=CC=C1C#N
8o,orginal,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c(C#N)c1[H]
