Name,RC,SMILES,Pruned
1,orginal,reactant,Fc1c(cc(cc1)Nc2ncnc3c2cc(c(c3)O[C@@H]4COCC4)NC(=O)C=CCN(C)C)Cl
1,orginal,intermediate,[H]c1nc(N([H])c2c([H])c([H])c(F)c(Cl)c2[H])c2c([H])c(N([H])C(=O)[C-]([H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c(O[C@]3([H])C([H])([H])OC([H])([H])C3([H])[H])c([H])c2n1
1,orginal,product,[H]c1nc(N([H])c2c([H])c([H])c(F)c(Cl)c2[H])c2c([H])c(N([H])C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c(O[C@]3([H])C([H])([H])OC([H])([H])C3([H])[H])c([H])c2n1
1,pruned,reactant,[H]C(C(=O)N([H])c1c([18H])c([H])c2nc([H])nc([7H])c2c1[H])=C([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H]
1,pruned,intermediate,[H]c1nc([7H])c2c([H])c(N([H])C(=O)[C-]([H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([18H])c([H])c2n1
1,pruned,product,[H]c1nc([7H])c2c([H])c(N([H])C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([18H])c([H])c2n1
3,orginal,reactant,n1(nc(c2c1ncnc2N)-c3ccc(cc3)Oc4ccccc4)[C@H]5CN(CCC5)C(=O)C=C
3,orginal,intermediate,[H]c1nc(N([H])[H])c2c(-c3c([H])c([H])c(Oc4c([H])c([H])c([H])c([H])c4[H])c([H])c3[H])nn([C@@]3([H])C([H])([H])N(C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])C([H])([H])C([H])([H])C3([H])[H])c2n1
3,orginal,product,[H]c1nc(N([H])[H])c2c(-c3c([H])c([H])c(Oc4c([H])c([H])c([H])c([H])c4[H])c([H])c3[H])nn([C@@]3([H])C([H])([H])N(C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])C([H])([H])C([H])([H])C3([H])[H])c2n1
3,pruned,reactant,[H]C([H])=C([H])C(=O)N1C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(n2nc(-c3c([H])c([H])c([16H])c([H])c3[H])c3c([9H])nc([H])nc32)C1([H])[H]
3,pruned,intermediate,[H]c1nc([9H])c2c(-c3c([H])c([H])c([16H])c([H])c3[H])nn([C@@]3([H])C([H])([H])N(C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])C([H])([H])C([H])([H])C3([H])[H])c2n1
