Name,SMILES,GSH_half_life_min
1,C=CC(=O)Nc1ccccn1,7.8
2,C=CC(=O)Nc1cccc(c1)C#N,26.4
3,C=CC(=O)Nc1cccc(c1)Cl,45
4,C=CC(=O)Nc1ccccc1,52.8
5,COc1cccc(c1)NC(=O)C=C,96
6,CN(c1ccccc1)C(=O)C=C,210
7,CNC(=O)/C=C/C(F)(F)F,240
8,COc1ccc(cc1)NC(=O)C=C,270
9,C=CC(=O)N1CCC(C1)O,480
10,C=CC(=O)NCc1ccccc1,900
11,CNC(=O)C=C,1002
12,COc1cccc(c1)CNC(=O)C=C,1500
13,CN1CC=CC1=O,1620
14,C=CC(=O)N1CCCCC1,1980
15,CC(=C)C(=O)Nc1ccccc1,>3600
16,C/C=C/C(=O)Nc1ccccc1,>3600
21,CNC(=O)/C=C/CN1CCOCC1,1680
22,CNC(=O)/C=C/CN1CCC1,2460
23,CNC(=O)/C=C/CN(C)C,>3600
24,C/C=C/C(=O)NC,>3600
25,CC/C=C/C(=O)NC,>3600
44,CNC(=O)C1=CCC1,>3600
45,CNC(=O)C1=CCCC1,>3600
