Name,RC,SMILES,charge,QCa,QCb,E_HOMO,E_LUMO,f_plus_Cb,f_minus_Cb,f_zero_Cb,f_plus_Ca,f_minus_Ca,f_zero_Ca,"E(opt, kcal/mol)","time(opt, sec)","E(rattled, kcal/mol)","E(initial, kcal/mol)"
S5-8.1,reactant,[H]c1c([H])c(N([H])C(=O)[C:91]([H])=[C:92]([H])[H])c([H])c([H])c1N([H])[H],0,-0.14971058,-0.28200856,-180.0416842587856,15.892097082764456,0.14929953,0.07616913,0.11273433,0.069494635,-0.013944969,0.027774833,-335137.59991052473,18.040335819125175,-335134.41816405486,-335136.31052276306
S5-8.1,intermediate,[H]c1c([H])c(N([H])C(=O)[C-:91]([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c([H])c1N([H])[H],-1,-0.48691136,-0.11493647,-61.535719249190315,111.41646113108703,0.0013139695,0.023427434,0.012370702,-0.028022736,0.30240184,0.13718954,-610133.8266812372,20.598419884219766,-610127.9787130025,-610130.2037031786
S5-8.1,product,[H]c1c([H])c(N([H])C(=O)[C:91]([H])([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c([H])c1N([H])[H],0,-0.13119237,-0.09954209,-176.77338433798985,20.609217365943334,-0.043560434,-0.054856785,-0.04920861,0.025982812,-0.008384988,0.008798912,-610502.5136858276,1.4889895673841238,-610499.1565015916,-610500.9712510739
S5-9.1,reactant,[H]c1c([H])c(N([H])C(=O)[C:91]([H])=[C:92]([H])[H])c([H])c([H])c1F,0,-0.15079287,-0.27639848,-201.87332458635296,8.630711969673401,0.11723149,0.06532712,0.091279306,0.043392703,0.0009251386,0.02215892,-362685.7016755774,1.107874970883131,-362682.9811773991,-362684.5818735102
S5-9.1,intermediate,[H]c1c([H])c(N([H])C(=O)[C-:91]([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c([H])c1F,-1,-0.5067069,-0.11618111,-68.76336196263365,109.68353362615935,-0.02559983,0.022164077,-0.0017178766,-0.016349286,0.34136453,0.16250762,-637685.4321327375,1.6253352537751198,-637680.2852773778,-637682.2802695166
S5-9.1,product,[H]c1c([H])c(N([H])C(=O)[C:91]([H])([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c([H])c1F,0,-0.13427895,-0.10628534,-192.8692966205478,14.743855219664402,-0.04596448,-0.0443084,-0.04513644,0.038447425,0.003482625,0.020965025,-638051.573319427,1.084885222837329,-638048.3030358328,-638050.4392685613
S5-12.1,reactant,[H]c1c([H])c([H])c(N([H])C(=O)[C:91]([H])=[C:92]([H])[H])c([H])c1[H],0,-0.14946179,-0.2789019,-202.53309449522976,12.047936860659247,0.13314882,0.0663818,0.09976531,0.060986087,0.0012108833,0.031098485,-300374.33709313796,0.8626957684755325,-300371.9567531463,-300373.4357625912
S5-12.1,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-:91]([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c1[H],-1,-0.49732324,-0.110780396,-66.19070511592102,116.35854607524585,-0.032502554,0.020142302,-0.006180126,-0.0059535205,0.32871088,0.16137868,-575372.1436111714,1.651439379900694,-575366.8579549006,-575368.3483471103
S5-12.1,product,[H]c1c([H])c([H])c(N([H])C(=O)[C:91]([H])([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c1[H],0,-0.14200549,-0.11883503,-190.6097957477737,19.263826171569605,-0.024030246,-0.022082657,-0.023056451,0.020522729,0.008082449,0.014302589,-575741.2709668245,1.6836285796016455,-575736.6688988539,-575739.2217238016
S5-11.1,reactant,[H]c1c([H])c([H])c(N(C(=O)[C:91]([H])=[C:92]([H])[H])C([H])([H])[H])c([H])c1[H],0,-0.16348112,-0.28810123,-197.9669418619261,14.52797196543393,0.16270927,0.10512221,0.13391574,0.059765488,-0.004217297,0.027774096,-325051.0662958333,2.2733282074332237,-325046.11088755704,-325048.60642320197
