Name,RC,SMILES,charge,QCa,QCb,E_HOMO,E_LUMO,f_plus_Cb,f_minus_Cb,f_zero_Cb,f_plus_Ca,f_minus_Ca,f_zero_Ca,"E(opt, kcal/mol)","time(opt, sec)","E(rattled, kcal/mol)","E(initial, kcal/mol)"
S2-21.1,reactant,[H]c1c([H])c(N([H])C(=O)[C:91]([H])=[C:92]([H])[H])c([H])c([H])c1F,0,-0.1511351,-0.2763334,-201.88185921321974,8.632429155692906,0.117174804,0.0651737,0.09117425,0.043470636,0.0011562109,0.022313423,-362685.70263170695,17.565774876624346,-362682.5401630869,-362684.5846989498
S2-21.1,intermediate,[H]c1c([H])c(N([H])C(=O)[C-:91]([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c([H])c1F,-1,-0.49681452,-0.116852276,-68.01668862457666,106.71186085016146,-0.031240433,0.01644244,-0.0073989965,-0.013079286,0.36752808,0.1772244,-637683.8863502516,19.994526846334338,-637679.8488480686,-637681.5923010249
S2-21.1,product,[H]c1c([H])c(N([H])C(=O)[C:91]([H])([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c([H])c1F,0,-0.14269622,-0.12260247,-190.92741651664804,15.1257704894099,-0.024545267,-0.019794427,-0.022169847,0.019333705,0.006363049,0.012848377,-638052.7263822962,1.6555941523984075,-638048.3252718762,-638050.404767716
S2-22.1,reactant,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C:91]([H])=[C:92]([H])[H])c([H])c1[H],0,-0.16264193,-0.27967852,-207.8290518117475,17.85972485076721,0.16921207,0.09623334,0.1327227,0.08412835,-0.0053090304,0.03940966,-325061.38458635483,2.2829356361180544,-325058.0336653253,-325060.1388804573
S2-22.1,intermediate,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C-:91]([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c1[H],-1,-0.55232704,-0.11391431,-72.37376189846132,110.03526697319704,0.008500539,0.022186048,0.015343294,-0.06478745,0.5038519,0.2195322,-600055.193150182,3.063040293753147,-600046.8620146627,-600049.0667772335
S2-22.1,product,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C:91]([H])([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c1[H],0,-0.14164254,-0.12345472,-196.42779625969823,16.502428533754127,-0.028854728,-0.019487485,-0.024171107,0.019889027,0.0008433312,0.010366179,-600426.6455524707,4.019785292446613,-600421.7266336979,-600423.9900571019
S2-22.2,reactant,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C:91]([H])=[C:92]([H])[H])c([H])c1[H],0,-0.1628362,-0.27960458,-207.7455959972822,17.857800183420718,0.1702928,0.09645411,0.13337345,0.084067956,-0.0051745623,0.039446697,-325061.3820710174,2.312726787291467,-325058.5588685419,-325060.1858321148
S2-22.2,intermediate,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C-:91]([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c1[H],-1,-0.54241115,-0.11535781,-71.9882405994222,110.1532655479448,0.009139024,0.023858055,0.01649854,-0.057217687,0.48881596,0.21579914,-600054.8719213158,2.353433103300631,-600048.9287205416,-600051.0796780143
S2-22.2,product,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C:91]([H])([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c1[H],0,-0.13778637,-0.10747318,-193.79356552455607,17.81855352688842,-0.043298177,-0.040177345,-0.04173776,0.09106539,0.03283997,0.06195268,-600426.7455938888,3.076570517383516,-600422.5228516245,-600424.96477026
S2-22.3,reactant,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C:91]([H])=[C:92]([H])[H])c([H])c1[H],0,-0.16515453,-0.2819573,-210.5467005421625,17.046255864741862,0.12554839,0.06731957,0.09643398,0.052271113,-0.00171341,0.025278851,-325059.6948044305,2.011752334423363,-325056.1616204711,-325058.7262227817
S2-22.3,intermediate,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C-:91]([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c1[H],-1,-0.5114335,-0.110480644,-69.19588158912562,111.30189811891498,0.007943906,0.04267928,0.025311593,-0.021976322,0.38285956,0.18044162,-600053.3226730067,4.580437825992703,-600041.7280099114,-600044.3762562526
S2-22.3,product,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C:91]([H])([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c1[H],0,-0.13717018,-0.10646798,-193.49089899055235,17.54072065634864,-0.040262155,-0.038103193,-0.039182674,0.06610179,0.010393113,0.03824745,-600426.7500080712,2.4645430287346244,-600423.3010821493,-600425.4084141001
S2-22.4,reactant,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C:91]([H])=[C:92]([H])[H])c([H])c1[H],0,-0.16072392,-0.28352472,-209.97171896281324,16.139966011524237,0.13457644,0.07139668,0.10298656,0.043935835,-0.0063079298,0.018813953,-325059.9497049629,2.8797559589147568,-325056.9628107801,-325058.42907994473
S2-22.4,intermediate,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C-:91]([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c1[H],-1,-0.50681454,-0.121079825,-67.83875119396855,113.650623367598,0.005289085,0.031208403,0.018248744,-0.048551917,0.42100438,0.18622623,-600055.8595055575,4.351239904761314,-600049.0427673641,-600051.4141515522
S2-22.4,product,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C:91]([H])([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c1[H],0,-0.13858694,-0.10527929,-193.09869189209525,17.57296477579168,-0.03993634,-0.03955952,-0.03974793,0.07124403,0.014448747,0.04284639,-600426.7995179577,1.4006452430039644,-600421.8073160271,-600425.6513847747
S2-22.5,reactant,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C:91]([H])=[C:92]([H])[H])c([H])c1[H],0,-0.16063613,-0.283675,-210.0218528539521,16.110901923248484,0.133854,0.07168536,0.10276968,0.042704552,-0.006455973,0.01812429,-325059.9522807315,4.586324002593756,-325057.1002162956,-325058.4608287902
