Name,SMILES,GSH_half_life_min,dataset,id
1,O=C(C=C)NC1=CC=CC=C1,179,S4,S4-1
2o,O=C(C=C)NC1=CC=CC=C1F,110,S4,S4-2o
3o,O=C(C=C)NC1=CC=CC=C1Cl,48.3,S4,S4-3o
4o,O=C(C=C)NC1=CC=CC=C1C,311,S4,S4-4o
5o,O=C(C=C)NC1=CC=CC=C1C(F)(F)F,63.5,S4,S4-5o
6o,O=C(C=C)NC1=CC=CC=C1C2=CC=CC=C2,223,S4,S4-6o
7o,O=C(C=C)NC1=CC=CC=C1C(OC)=O,29.9,S4,S4-7o
8o,O=C(C=C)NC1=CC=CC=C1C#N,25.8,S4,S4-8o
9o,O=C(C=C)NC1=CC=CC=C1OC,194,S4,S4-9o
10o,O=C(C=C)NC1=CC=CC=C1SC,72.6,S4,S4-10o
11o,O=C(C=C)NC1=CC=CC=C1N(C)C,82.7,S4,S4-11o
12o,O=C(C=C)NC1=CC=CC=C1[N+]([O-])=O,6,S4,S4-12o
2m,O=C(C=C)NC1=CC=CC(F)=C1,71.6,S4,S4-2m
3m,O=C(C=C)NC1=CC=CC(Cl)=C1,68.1,S4,S4-3m
4m,O=C(C=C)NC1=CC=CC(C)=C1,213,S4,S4-4m
5m,O=C(C=C)NC1=CC=CC(C(F)(F)F)=C1,61.8,S4,S4-5m
6m,O=C(C=C)NC1=CC=CC(C2=CC=CC=C2)=C1,103,S4,S4-6m
7m,O=C(C=C)NC1=CC=CC(C(OC)=O)=C1,116,S4,S4-7m
8m,O=C(C=C)NC1=CC=CC(C#N)=C1,41.4,S4,S4-8m
9m,O=C(C=C)NC1=CC=CC(OC)=C1,116,S4,S4-9m
10m,O=C(C=C)NC1=CC=CC(SC)=C1,87.3,S4,S4-10m
11m,O=C(C=C)NC1=CC=CC(N(C)C)=C1,152,S4,S4-11m
12m,O=C(C=C)NC1=CC=CC([N+]([O-])=O)=C1,25.5,S4,S4-12m
2p,O=C(C=C)NC1=CC=C(F)C=C1,159,S4,S4-2p
3p,O=C(C=C)NC1=CC=C(Cl)C=C1,92.5,S4,S4-3p
4p,O=C(C=C)NC1=CC=C(C)C=C1,265,S4,S4-4p
5p,O=C(C=C)NC1=CC=C(C(F)(F)F)C=C1,39.5,S4,S4-5p
6p,O=C(C=C)NC1=CC=C(C2=CC=CC=C2)C=C1,117,S4,S4-6p
7p,O=C(C=C)NC1=CC=C(C(OC)=O)C=C1,23.3,S4,S4-7p
8p,O=C(C=C)NC1=CC=C(C#N)C=C1,17.3,S4,S4-8p
9p,O=C(C=C)NC1=CC=C(OC)C=C1,342,S4,S4-9p
10p,O=C(C=C)NC1=CC=C(SC)C=C1,136,S4,S4-10p
11p,O=C(C=C)NC1=CC=C(N(C)C)C=C1,247,S4,S4-11p
12p,O=C(C=C)NC1=CC=C([N+]([O-])=O)C=C1,7.9,S4,S4-12p
1,Fc1c(cc(cc1)Nc2ncnc3c2cc(c(c3)O[C@@H]4COCC4)NC(=O)C=CCN(C)C)Cl,25,S5,S5-1
3,n1(nc(c2c1ncnc2N)-c3ccc(cc3)Oc4ccccc4)[C@H]5CN(CCC5)C(=O)C=C,1180,S5,S5-3
8,C=CC(=O)Nc1ccc(cc1)N,816,S5,S5-8
9,C=CC(=O)Nc1ccc(cc1)F,323,S5,S5-9
10,C=CC(=O)NCc1ccccc1,2940,S5,S5-10
11,CN(c1ccccc1)C(=O)C=C,436,S5,S5-11
12,C=CC(=O)Nc1ccccc1,299,S5,S5-12
13,Cc1ccccc1NC(=O)C=C,428,S5,S5-13
14,COc1ccc(cc1)NC(=O)C=C,524,S5,S5-14
15,C=CC(=O)Nc1ccccc1C#N,37.2,S5,S5-15
16,C=CC(=O)Nc1cccc(c1)F,145,S5,S5-16
17,Cc1ccc(cc1)NC(=O)C=C,361,S5,S5-17
18,C=CC(=O)Nc1ccccn1,22,S5,S5-18
19,C=CC(=O)Nc1ccc(cc1)C#N,32.9,S5,S5-19
20,CC(=C)C(=O)NC(C)(C)c1ccccc1,>8640,S5,S5-20
21,CC(=C)C(=O)Nc1ccccc1,>10000,S5,S5-21
22,CC(=CC(=O)Nc1ccccc1)C,>10000,S5,S5-22
23,C=CC(=O)Nc1ccc(cc1)N,>10000,S5,S5-23
24,Fc1c(cccc1Nc2ncnc3c2cc(c(c3)OC)OC4CCN(CC4)C(=O)C=C)Cl,1640,S5,S5-24
25,s2c1ncnc(c1cc2-c3n(cnc3-c4ccccc4)CC5N(CCC5)C(=O)C=C)N,1700,S5,S5-25
26,N3(CCc1c(nc(nc1)NC2CCOCC2)C3)C(=O)C=C,252,S5,S5-26
27,N1([C@@H](CCC1)C(=O)Nc3c(cc2ncc(c(c2c3)Nc4cc(ccc4)CC)C(=O)N)OC)C(=O)C=C,211,S5,S5-27
28,n1(ncc(c1)-c2nc(c(nc2)N)-n3nnc4c3cccc4)C5CCN(CC5)C(=O)C=C,949,S5,S5-28
29,Ic1c(cc(c(c1)NCC(=O)N2CCN(CC2)C(=O)C=C)O)Cl,367,S5,S5-29
30,Clc1c(cc(c(c1)NCC(=O)N2CCN(CC2)C(=O)C=C)OC)Cl,400,S5,S5-30
31,N1(CCN(CC1)C(=O)C=C)c2ncc(cn2)-c3ccccc3,691,S5,S5-31
32,Fc1ccc(cc1)S[C@@H]2CN([C@@H](C2)C(=O)NCc3ccc(cc3)F)C(=O)C=C,90.8,S5,S5-32
34,Clc1c(nc(nc1)Nc2c(ccc(c2)NC(=O)C=CCN(C)C)OC)-c3c4n(nc3)cccc4,352,S5,S5-34
35,Clc1ccc(cc1)C=CS(=O)(=O)N2CCN(CC2)C(=O)C=C,283,S5,S5-35
36,N(C(C(O)c1cc(ccc1)OC)(C)C)C(=O)C=C,3160,S5,S5-36
51,N(c1onc(c1)-c2ccccc2)C(=O)C=C,4.09,S5,S5-51
52,s1c(nc(c1)-c2ccccc2)NC(=O)C=C,4.38,S5,S5-52
