Name,Pruned,RC,SMILES
9,original,reactant,C=CC(=O)N1CCC(C1)O
9,original,intermediate,[H]OC1([H])C([H])([H])N(C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])C([H])([H])C1([H])[H]
9,original,product,[H]OC1([H])C([H])([H])N(C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])C([H])([H])C1([H])[H]
9,pruned,reactant,[H]C([H])=C([H])C(=O)N1C([H])([H])C([H])([H])C([H])([9H])C1([H])[H]
9,pruned,intermediate,[H][C-](C(=O)N1C([H])([H])C([H])([H])C([H])([9H])C1([H])[H])C([H])([H])SC([H])([H])[H]
9,pruned,product,[H]C([H])([H])SC([H])([H])C([H])([H])C(=O)N1C([H])([H])C([H])([H])C([H])([9H])C1([H])[H]
10,original,reactant,C=CC(=O)NCc1ccccc1
10,original,intermediate,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
10,original,product,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
10,pruned,reactant,C=CC(=O)NCc1ccccc1
10,pruned,intermediate,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
10,pruned,product,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
11,original,reactant,CNC(=O)C=C
11,original,intermediate,[H][C-](C(=O)N([H])C([H])([H])[H])C([H])([H])SC([H])([H])[H]
11,original,product,[H]N(C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])C([H])([H])[H]
11,pruned,reactant,C=CC(=O)NC
11,pruned,intermediate,[H][C-](C(=O)N([H])C([H])([H])[H])C([H])([H])SC([H])([H])[H]
11,pruned,product,[H]N(C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])C([H])([H])[H]
12,original,reactant,COc1cccc(c1)CNC(=O)C=C
12,original,intermediate,[H]c1c([H])c(OC([H])([H])[H])c([H])c(C([H])([H])N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c1[H]
12,original,product,[H]c1c([H])c(OC([H])([H])[H])c([H])c(C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c1[H]
12,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])C([H])([H])c1c([H])c([H])c([H])c([1H])c1[H]
12,pruned,intermediate,[H]c1c([H])c([1H])c([H])c(C([H])([H])N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c1[H]
12,pruned,product,[H]c1c([H])c([1H])c([H])c(C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c1[H]
13,original,reactant,CN1CC=CC1=O
13,original,intermediate,[H][C-]1C(=O)N(C([H])([H])[H])C([H])([H])C1([H])SC([H])([H])[H]
13,original,product,[H]C([H])([H])SC1([H])C([H])([H])C(=O)N(C([H])([H])[H])C1([H])[H]
13,pruned,reactant,CN1CC=CC1=O
13,pruned,intermediate,[H][C-]1C(=O)N(C([H])([H])[H])C([H])([H])C1([H])SC([H])([H])[H]
13,pruned,product,[H]C([H])([H])SC1([H])C([H])([H])C(=O)N(C([H])([H])[H])C1([H])[H]
14,original,reactant,C=CC(=O)N1CCCCC1
14,original,intermediate,[H][C-](C(=O)N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])SC([H])([H])[H]
14,original,product,[H]C([H])([H])SC([H])([H])C([H])([H])C(=O)N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
14,pruned,reactant,C=CC(=O)N1CCCCC1
14,pruned,intermediate,[H][C-](C(=O)N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])SC([H])([H])[H]
14,pruned,product,[H]C([H])([H])SC([H])([H])C([H])([H])C(=O)N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
15,original,reactant,CC(=C)C(=O)Nc1ccccc1
15,original,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-](C([H])([H])[H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
15,original,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])(C([H])([H])[H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
15,pruned,reactant,C=C(C)C(=O)Nc1ccccc1
15,pruned,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-](C([H])([H])[H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
15,pruned,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])(C([H])([H])[H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
16,original,reactant,C/C=C/C(=O)Nc1ccccc1
16,original,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])(SC([H])([H])[H])C([H])([H])[H])c([H])c1[H]
16,original,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])[H])c([H])c1[H]
16,pruned,reactant,C/C=C/C(=O)Nc1ccccc1
16,pruned,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])(SC([H])([H])[H])C([H])([H])[H])c([H])c1[H]
16,pruned,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])[H])c([H])c1[H]
21,original,reactant,CNC(=O)/C=C/CN1CCOCC1
21,original,intermediate,[H][C-](C(=O)N([H])C([H])([H])[H])C([H])(SC([H])([H])[H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H]
21,original,product,[H]N(C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C([H])([H])[H]
21,pruned,reactant,CNC(=O)/C=C/CN1CCOCC1
21,pruned,intermediate,[H][C-](C(=O)N([H])C([H])([H])[H])C([H])(SC([H])([H])[H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H]
21,pruned,product,[H]N(C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C([H])([H])[H]
22,original,reactant,CNC(=O)/C=C/CN1CCC1
22,original,intermediate,[H][C-](C(=O)N([H])C([H])([H])[H])C([H])(SC([H])([H])[H])C([H])([H])N1C([H])([H])C([H])([H])C1([H])[H]
