Name,RC,SMILES,Pruned
1,orginal,reactant,C=CC(=O)Nc1ccccn1
1,orginal,intermediate,[H]c1nc(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1[H]
1,orginal,product,[H]c1nc(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1[H]
1,pruned,reactant,C=CC(=O)Nc1ccccn1
1,pruned,intermediate,[H]c1nc(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1[H]
1,pruned,product,[H]c1nc(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1[H]
2,orginal,reactant,C=CC(=O)Nc1cccc(c1)C#N
2,orginal,intermediate,[H]c1c([H])c(C#N)c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c1[H]
2,orginal,product,[H]c1c([H])c(C#N)c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c1[H]
2,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([H])c([11H])c1[H]
2,pruned,intermediate,[H]c1c([H])c([11H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c1[H]
2,pruned,product,[H]c1c([H])c([11H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c1[H]
3,orginal,reactant,C=CC(=O)Nc1cccc(c1)Cl
3,orginal,intermediate,[H]c1c([H])c(Cl)c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c1[H]
3,orginal,product,[H]c1c([H])c(Cl)c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c1[H]
3,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([H])c([11H])c1[H]
3,pruned,intermediate,[H]c1c([H])c([11H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c1[H]
3,pruned,product,[H]c1c([H])c([11H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c1[H]
4,orginal,reactant,C=CC(=O)Nc1ccccc1
4,orginal,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
4,orginal,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
4,pruned,reactant,C=CC(=O)Nc1ccccc1
4,pruned,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
4,pruned,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
5,orginal,reactant,COc1cccc(c1)NC(=O)C=C
5,orginal,intermediate,[H]c1c([H])c(OC([H])([H])[H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c1[H]
5,orginal,product,[H]c1c([H])c(OC([H])([H])[H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c1[H]
5,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([H])c([1H])c1[H]
5,pruned,intermediate,[H]c1c([H])c([1H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c1[H]
5,pruned,product,[H]c1c([H])c([1H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c1[H]
6,orginal,reactant,CN(c1ccccc1)C(=O)C=C
6,orginal,intermediate,[H]c1c([H])c([H])c(N(C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])C([H])([H])[H])c([H])c1[H]
6,orginal,product,[H]c1c([H])c([H])c(N(C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])C([H])([H])[H])c([H])c1[H]
6,pruned,reactant,C=CC(=O)N(C)c1ccccc1
6,pruned,intermediate,[H]c1c([H])c([H])c(N(C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])C([H])([H])[H])c([H])c1[H]
6,pruned,product,[H]c1c([H])c([H])c(N(C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])C([H])([H])[H])c([H])c1[H]
7,orginal,reactant,CNC(=O)/C=C/C(F)(F)F
7,orginal,intermediate,[H][C-](C(F)(F)F)C([H])(SC([H])([H])[H])C(=O)N([H])C([H])([H])[H]
7,orginal,product,[H]N(C(=O)C([H])(SC([H])([H])[H])C([H])([H])C(F)(F)F)C([H])([H])[H]
7,pruned,reactant,CNC(=O)/C=C/C(F)(F)F
7,pruned,intermediate,[H][C-](C(F)(F)F)C([H])(SC([H])([H])[H])C(=O)N([H])C([H])([H])[H]
7,pruned,product,[H]N(C(=O)C([H])(SC([H])([H])[H])C([H])([H])C(F)(F)F)C([H])([H])[H]
8,orginal,reactant,COc1ccc(cc1)NC(=O)C=C
8,orginal,intermediate,[H]c1c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1OC([H])([H])[H]
